𦄚	縱
𦇳	縹
𦆖	繚
𦇣	繢
繮	繮 韁
𦆎	繹
𦈫	缺
网	罔
𦊡	罛
𦊩	罝
𦊟	罟
𦋙	罨
𦋛	罪
䍞	罭
𦋘	置
𦋧	署
𦋮	罳
𦋻	罵
𦋼	罷
𦌐	罹
𦌞	罽
𦌝	罾
𦌲	羆
芈	羋
𦍚	羔
𦍟	羞
羣	羣 群
𦏲	羽
翄	翅
𦑳	翦
𦒬	翾
燿	耀
𣐇	耒
𦓮	耕
秏	耗
𦔡	耤
鎒	耨
𦕾	聒
䏈	聯
𦘋	聵
𦘟	肇
𠕎	肉
朒	肭
肎	肯
𦚃	肺
𦞅	胃
𦙐	胙
肧	胚
𦚁	胠
𦛹	胾
脃	脆
𦟝	脊
𠋛	脩
脫	脫 脱
𦟩	腌
匘	腦
𦞶	腹
𦣁	膘
𦢃	膳
𦣌	膴
髕	臏
𦣹	自
𦥫	臿
𦥝	舀
𦥠	舁
𦦓	舂
𦥶	舅
𦥸	與
𢍯	興
擧	舉
舓	舐
䑞	舜
𦨅	舞
𦪄	艎
𥃩	艮
𣌩	良
𥌵	艱
芌	芋
𦭩	芝
𦭃	苹
𦴛	茜
𦱝	茢
𦯋	茿
𦷣	草
荆	荊
𮎰	荒
𦯌	莣
𦶛	莫
𦷶	莽
葘	菑
𦻉	菔
𦾓	華
𦹩	萌
𦱥	萐
𦵒	萩
𥝅	萬
𦺭	葠
𦷱	葥
蔥	蔥 葱
𦮙	葵
蔿	蔿 蒍
葢	蓋
𦵪	蓛
𧄖	蔈
𧅸	蕈
𧂟	蕢
𧂌	蕣
藷	藷 薯
𧁰	藑
𧅓	藭
𧆩	虐
𧆪	虖
虗	虛
蝨	蝨 虱
𧉳	蚌
蛕	蛔
䖹	蛘
鼃	蛙
𧌵	蛚
𧋳	蛩
蛻	蛻 蜕
𧏈	蝒
蜨	蝶
蜋	螂
𧑥	螣
蠃	螺
𧐚	蟅
蠏	蟹
螘	蟻
𧔘	蠉
蝡	蠕
𧅪	蠢
𧖗	蠰
𧗾	衡
𠅃	衣
𧘚	衧
𧜸	衰
𧘭	衾
𧚝	裁
𧚲	裂
裏	裏 裡
𧚍	裘
帬	裙
𧜰	複
襃	褒
緥	褓
絝	褲
𧞻	襄
𧟒	襛
韤	襪
𧟊	襮
㢴	西
𧠃	覆
𧡿	親
𧢚	覲
𧢲	角
𧥠	訄
𧥷	訖
譌	訛
𧦾	訣
𧦡	訴
𧧧	詈
𧨛	詪
䛡	話
𧨢	詳
䛶	誄
𧪴	誑
說	說 説
𧭺	諄
𧬡	諈
𧪺	論
𧫲	諞
𧪳	諰
𧬴	謂
𦫁	謄
𧬉	謈
詤	謊
𧫪	謔
𧩂	謗
𧪿	講
𧬄	謝
𧬍	謫
𧭩	謹
𧬓	謺
𧫫	譀
𧮉	譁
𧩿	譔
𧫭	譜
𧭴	譞
𧬳	譯
𧭦	讂
𣀵	變
𧮨	讓
𠔌	谷
𧯽	豊
豓	豔
𨤜	豢
𧱗	豤
𧳔	貆
𧵩	責
䝿	貴
𧴷	貶
𧵽	買
𧶻	貿
𣣬	資
𧵪	賊
𧷇	賮
𧷽	賸
𤆍	赤
𢽀	赦
𧺆	走
𧻬	趍
赶	趕
𨀆	趹
𨁞	跟
迹	跡
𨁀	跾
踊	踊 踴
蹋	蹋 踏
𨅦	踖
𨄫	踰
蹏	蹄
𨇏	蹉
𨇋	蹐
𨅙	蹢
𨆴	蹸
蹻	蹺
趮	躁
𠣞	軍
軶	軛
輧	軿
𨌏	載
輺	輜
煇	輝
轀	轀 輼
𨏋	轈
𨏏	轔
𨏙	轘
𨑛	迂
迆	迆 迤
𣂠	近
𡖰	迻
𨓈	适
徧	遍
𨙞	遷
𨙱	邘
𨚇	邠
𨚠	邯
𨛆	邱
𨜦	郠
𨛦	郡
郶	部
𨟍	郭
𨛿	郰
𨞄	郵
𨜯	郹
𨜞	都
𨞅	郿
𨞉	鄄
𨟕	鄑
𨞀	鄭
𨞵	鄮
𨟪	鄯
𨞏	鄲
𨞡	鄶
𨠾	酨
𨣶	醇
𨣋	醋
醞	醞 醖
𨣓	醯
𨤌	醰
𨤉	醲
𨤁	醺
𡍺	重
鍼	鍼 針
𨥊	釳
𨥻	鈌
鉤	鉤 鈎
𨧏	銀
𨧎	銎
銳	銳 鋭
鉏	鋤
𨭇	錘
鍿	錙
𨯢	錞
䥘	錯
𨪽	鍠
鎭	鎮
𨬙	鏑
𨰐	鏢
𨭼	鐐
𨰳	鐔
鐗	鐧
鎌	鐮
𨮯	鐵
𨮚	鑄
鑑	鑑 鑒
𨯄	鑣
𨱗	長
閒	閒 間
閱	閱 閲
𨶾	闉
𨶖	闊
𨵵	闔
𨵿	關
𨶞	闞
𨷪	闠
𨷤	闤
𨸥	阱
𨹨	限
𨻪	陵
𨺵	隊
𨽠	隤
靁	雷
𩇑	霩
𡇢	面
𧡻	靦
鞵	鞋
鞌	鞍
𩊷	鞎
𩊳	鞏
𩌻	鞭
𩎏	鞹
𩎁	鞾
𩑋	頁
𩓕	頛
頟	額
𩖓	顰
𩘃	颲
𩙞	飄
𩚁	食
飤	飼
餠	餅
𩝉	饁
𩟱	饋
𩠐	首
𩠒	馗
𪏰	香
𪐒	馥
𪐕	馨
騈	駢
𩤭	駥
𩤿	駸
𩦆	騬
𦫀	騰
𩧙	驃
𩧤	驔
𩦯	驛
𩧁	驟
𩩹	骾
䯺	髺
𩮢	髽
𩯐	鬊
𩯴	鬟
𤋳	魚
鮎	鮎 鯰
𩻢	鮺
𩹐	鯁
魦	鯊
鰌	鰍
鼈	鱉
鱓	鱔
𩼩	鱗
𪁝	鴰
䳘	鵝
𪈶	鷻
𪈫	鸔
𪈩	鸛
𪋲	麟
𪌇	麧
麪	麪 麵
𪏵	黎
𪐗	黑
𪓑	黽
𪔫	鼖
𥚪	齋
𪗟	齕
𪙖	齤
𪙮	齰
𧢨	𧢄
𩑡	𩑔
𩓆	𩓥
